epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3909,1.75044,3.05882,1.85847,0.21389,0.24865,0.11226,0.03415,2.42516,6.46346,2.75351,0.067569,0.000327586,0.000327586
2,59.791,1.79544,2.72068,1.95135,0.09176,0.36175,0.03371,0.01211,2.71266,52.0235,3.61145,0.0345657,0.000657648,0.000657648
3,90.4964,1.83773,2.7976,2.01527,0.05778,0.19964,0.03835,0.01282,2.43274,40.626,3.21422,0.00155912,0.00098441,0.00098441
4,119.159,1.82661,2.77622,1.95714,0.13781,0.18178,0.07209,0.0263,2.29373,11.1317,2.76678,0.00098515,0.00098515,0.00098515
5,147.97,1.74126,2.63513,1.93025,0.12338,0.30446,0.1088,0.04059,2.26086,5.56153,2.51923,0.0009802,0.0009802,0.0009802
6,177.344,1.74906,2.60324,1.89634,0.19842,0.25293,0.12184,0.05163,2.20882,3.06664,2.2853,0.00097525,0.00097525,0.00097525
7,206.864,1.67217,2.56342,1.84685,0.20722,0.29697,0.13371,0.05933,2.14171,3.31822,2.33102,0.0009703,0.0009703,0.0009703
8,236.042,1.73076,2.65309,1.8719,0.1772,0.22949,0.11461,0.04975,2.10874,3.13205,2.17479,0.00096535,0.00096535,0.00096535
9,265.152,1.6629,2.60467,1.81629,0.15486,0.29485,0.11558,0.05013,2.08323,2.95129,2.18695,0.0009604,0.0009604,0.0009604
10,294.26,1.7116,2.58461,1.87291,0.21223,0.34338,0.17817,0.08385,1.91951,2.7719,2.01474,0.00095545,0.00095545,0.00095545
11,323.484,1.62904,2.52577,1.81654,0.21809,0.31861,0.1526,0.0658,2.12482,2.82507,2.16507,0.0009505,0.0009505,0.0009505
12,352.588,1.5924,2.41138,1.73511,0.20657,0.21965,0.12601,0.06103,2.04988,2.83647,2.12903,0.00094555,0.00094555,0.00094555
13,381.684,1.5902,2.43894,1.78665,0.22154,0.28034,0.16835,0.07398,2.07946,2.61167,2.11445,0.0009406,0.0009406,0.0009406
14,410.929,1.60654,2.43718,1.76715,0.23943,0.40949,0.20542,0.09842,1.8267,2.53386,1.90487,0.00093565,0.00093565,0.00093565
15,440.291,1.5647,2.36252,1.74324,0.25188,0.40172,0.19939,0.09581,1.91365,2.41495,1.96446,0.0009307,0.0009307,0.0009307
16,469.321,1.5554,2.32522,1.74261,0.25247,0.4501,0.21511,0.11293,1.83045,2.2314,1.86185,0.00092575,0.00092575,0.00092575
17,498.634,1.53718,2.29048,1.74351,0.23171,0.44424,0.19891,0.09266,1.96657,2.30118,1.93762,0.0009208,0.0009208,0.0009208
18,527.725,1.56486,2.33312,1.77031,0.25284,0.46351,0.22236,0.10045,2.04341,2.34583,2.03104,0.00091585,0.00091585,0.00091585
19,556.783,1.57029,2.27971,1.73034,0.29204,0.41911,0.25223,0.13615,1.79798,2.22822,1.84318,0.0009109,0.0009109,0.0009109
20,586.353,1.4969,2.27667,1.72536,0.26379,0.41839,0.20983,0.09653,1.9909,2.41577,2.02108,0.00090595,0.00090595,0.00090595
21,615.545,1.52094,2.22026,1.68808,0.25278,0.35217,0.20381,0.10325,1.89841,2.64438,1.92766,0.000901,0.000901,0.000901
22,644.754,1.53048,2.26248,1.69583,0.23474,0.49245,0.21124,0.10915,1.7837,2.24793,1.82858,0.00089605,0.00089605,0.00089605
23,673.703,1.47523,2.21292,1.68339,0.25631,0.48119,0.23526,0.11729,1.86126,2.25955,1.92877,0.0008911,0.0008911,0.0008911
24,702.723,1.56377,2.27199,1.76138,0.32225,0.37825,0.27636,0.14042,1.85023,2.26526,1.88749,0.00088615,0.00088615,0.00088615
25,731.957,1.53827,2.22925,1.70989,0.22594,0.44352,0.21714,0.10833,1.8852,2.27044,1.90014,0.0008812,0.0008812,0.0008812
26,760.871,1.47982,2.17314,1.6822,0.31376,0.36787,0.25349,0.12711,1.97763,2.25397,1.99141,0.00087625,0.00087625,0.00087625
27,790.26,1.43831,2.12256,1.62379,0.22559,0.52046,0.22219,0.11334,1.81758,2.15933,1.87374,0.0008713,0.0008713,0.0008713
28,819.378,1.47664,2.11524,1.66884,0.25829,0.50109,0.27454,0.12588,1.95922,2.1079,1.93426,0.00086635,0.00086635,0.00086635
29,848.329,1.47732,2.11645,1.66892,0.27805,0.44145,0.25963,0.13115,1.86987,2.13431,1.88984,0.0008614,0.0008614,0.0008614
30,877.438,1.45003,2.14355,1.65334,0.28196,0.5218,0.27169,0.13647,1.82373,2.03578,1.81638,0.00085645,0.00085645,0.00085645
31,906.511,1.47249,2.09526,1.64656,0.27619,0.44903,0.29065,0.14978,1.84204,2.12941,1.86316,0.0008515,0.0008515,0.0008515
32,935.911,1.46642,2.12476,1.65395,0.26475,0.5062,0.27419,0.1601,1.63867,2.02848,1.70655,0.00084655,0.00084655,0.00084655
33,965.509,1.46424,2.09986,1.65544,0.22378,0.53395,0.24876,0.13077,1.78107,2.11015,1.78649,0.0008416,0.0008416,0.0008416
34,994.631,1.48939,2.044,1.63329,0.27932,0.48241,0.27727,0.13642,1.84373,2.07252,1.8067,0.00083665,0.00083665,0.00083665
35,1023.58,1.47365,2.06679,1.66153,0.26563,0.51655,0.27999,0.14628,1.80937,2.07492,1.80325,0.0008317,0.0008317,0.0008317
36,1052.5,1.43177,2.05246,1.65724,0.30815,0.47614,0.30385,0.17388,1.63291,1.94425,1.68517,0.00082675,0.00082675,0.00082675
37,1081.7,1.41774,1.99313,1.61528,0.2754,0.52932,0.27991,0.1462,1.76486,1.9833,1.77016,0.0008218,0.0008218,0.0008218
38,1110.72,1.40972,2.02287,1.6198,0.308,0.47367,0.32199,0.17043,1.7651,1.9706,1.77982,0.00081685,0.00081685,0.00081685
39,1140.06,1.4507,1.99788,1.63114,0.28967,0.4683,0.27918,0.139,1.8789,2.07926,1.88756,0.0008119,0.0008119,0.0008119
40,1168.98,1.39141,1.9978,1.60397,0.34678,0.44309,0.32469,0.18181,1.7666,1.97489,1.78637,0.00080695,0.00080695,0.00080695
41,1198.16,1.44434,2.06777,1.6423,0.28813,0.43091,0.28549,0.14962,1.77081,2.08091,1.74506,0.000802,0.000802,0.000802
42,1227.39,1.41922,1.98,1.63529,0.29645,0.54414,0.31289,0.15886,1.83067,1.96587,1.81145,0.00079705,0.00079705,0.00079705
43,1256.35,1.36978,2.00628,1.58635,0.27182,0.50987,0.28506,0.14921,1.82456,1.9779,1.82132,0.0007921,0.0007921,0.0007921
44,1285.17,1.3798,1.9814,1.59212,0.28351,0.53987,0.28434,0.14973,1.78205,1.93259,1.79959,0.00078715,0.00078715,0.00078715
45,1314.22,1.37752,1.9278,1.57908,0.26085,0.51606,0.30173,0.1719,1.64361,1.97133,1.65941,0.0007822,0.0007822,0.0007822
46,1343.47,1.39526,1.96333,1.60634,0.30426,0.48187,0.31608,0.18531,1.64116,1.90478,1.67064,0.00077725,0.00077725,0.00077725
47,1372.74,1.38887,1.97556,1.60221,0.38142,0.38172,0.29613,0.17268,1.69192,2.0742,1.77961,0.0007723,0.0007723,0.0007723
48,1401.75,1.35828,1.93073,1.59882,0.24509,0.44348,0.23726,0.13812,1.68691,2.26599,1.76962,0.00076735,0.00076735,0.00076735
49,1430.85,1.3475,1.964,1.59524,0.33249,0.46835,0.32275,0.20273,1.50564,1.89636,1.62574,0.0007624,0.0007624,0.0007624
50,1460.09,1.32478,1.83877,1.53623,0.30242,0.51849,0.30255,0.18388,1.52404,2.01986,1.65506,0.00075745,0.00075745,0.00075745
51,1489.13,1.35935,1.95543,1.60449,0.37714,0.39308,0.30112,0.18898,1.4373,1.93932,1.59172,0.0007525,0.0007525,0.0007525
52,1518.28,1.31625,1.83148,1.53164,0.33021,0.49466,0.34243,0.21929,1.42384,1.84798,1.58044,0.00074755,0.00074755,0.00074755
53,1547.82,1.34545,1.90075,1.57427,0.30545,0.51837,0.28837,0.18437,1.40168,1.87601,1.5507,0.0007426,0.0007426,0.0007426
54,1577,1.31431,1.887,1.55541,0.33367,0.49257,0.33682,0.22119,1.3852,1.81205,1.55648,0.00073765,0.00073765,0.00073765
55,1606.34,1.32129,1.88856,1.56474,0.25584,0.57542,0.32295,0.20795,1.40106,1.8395,1.55829,0.0007327,0.0007327,0.0007327
56,1635.28,1.27187,1.83407,1.54734,0.31939,0.53411,0.34035,0.22886,1.30892,1.7537,1.48236,0.00072775,0.00072775,0.00072775
57,1664.52,1.36349,1.86046,1.56361,0.32153,0.43785,0.33089,0.21677,1.38103,1.84426,1.53047,0.0007228,0.0007228,0.0007228
58,1693.59,1.31199,1.78467,1.55248,0.309,0.5019,0.32995,0.19647,1.58083,1.78137,1.61889,0.00071785,0.00071785,0.00071785
59,1722.89,1.30919,1.76646,1.52737,0.31689,0.58636,0.36107,0.22898,1.35956,1.71858,1.51965,0.0007129,0.0007129,0.0007129
60,1752.15,1.31733,1.84224,1.56771,0.37846,0.49805,0.38382,0.24271,1.45882,1.74918,1.55481,0.00070795,0.00070795,0.00070795
61,1781.42,1.26915,1.76983,1.51277,0.38153,0.45885,0.3832,0.2582,1.31126,1.73587,1.49005,0.000703,0.000703,0.000703
62,1810.83,1.27755,1.76115,1.51825,0.3987,0.47371,0.38189,0.24524,1.41487,1.76277,1.51113,0.00069805,0.00069805,0.00069805
63,1839.85,1.28788,1.8092,1.52225,0.37032,0.5599,0.38646,0.24998,1.41158,1.73008,1.55796,0.0006931,0.0006931,0.0006931
64,1869.02,1.29723,1.85544,1.55103,0.37887,0.4691,0.37096,0.248,1.32838,1.84221,1.52571,0.00068815,0.00068815,0.00068815
65,1898.3,1.29593,1.81415,1.54337,0.39382,0.49932,0.3915,0.27127,1.26384,1.68892,1.47568,0.0006832,0.0006832,0.0006832
66,1927.52,1.3187,1.80615,1.54905,0.33638,0.52465,0.37556,0.25229,1.33874,1.77782,1.49183,0.00067825,0.00067825,0.00067825
67,1956.62,1.26977,1.75778,1.52367,0.34407,0.56322,0.38019,0.27166,1.23349,1.7447,1.41576,0.0006733,0.0006733,0.0006733
68,1985.65,1.27469,1.79113,1.5469,0.37993,0.49714,0.39871,0.27398,1.26246,1.74318,1.45622,0.00066835,0.00066835,0.00066835
69,2015.03,1.25065,1.73823,1.51496,0.32777,0.57632,0.39674,0.26284,1.32581,1.68611,1.48292,0.0006634,0.0006634,0.0006634
70,2044.09,1.23421,1.72007,1.49919,0.41176,0.47391,0.41073,0.26534,1.38817,1.69143,1.51841,0.00065845,0.00065845,0.00065845
71,2073.07,1.24852,1.71023,1.50346,0.40228,0.51164,0.40344,0.26918,1.2754,1.65179,1.46342,0.0006535,0.0006535,0.0006535
72,2102.47,1.24576,1.73354,1.53818,0.37342,0.51974,0.38075,0.25309,1.36775,1.74153,1.52314,0.00064855,0.00064855,0.00064855
73,2131.66,1.1947,1.68957,1.49679,0.35479,0.55125,0.41486,0.28261,1.27111,1.66299,1.46559,0.0006436,0.0006436,0.0006436
