epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2849,1.18912,3.16857,1.35872,0.25436,0.39937,0.1884,0.12269,1.28322,2.68678,1.50026,0.000474685,0.000474685,0.000474685
2,58.7712,1.40893,2.94047,1.51019,0.20747,0.41882,0.18583,0.10332,1.43418,2.71208,1.63335,0.000941603,0.000941603,0.000941603
3,86.9516,1.48185,2.84411,1.58017,0.21325,0.39125,0.16524,0.09416,1.53799,3.20953,1.79135,0.00139909,0.00139909,0.00139909
4,111.836,1.51704,2.73679,1.62923,0.184,0.46902,0.17249,0.10705,1.48739,2.57616,1.73759,0.00138656,0.00138656,0.00138656
5,138.144,1.43998,2.55536,1.56682,0.23014,0.43113,0.21044,0.1265,1.3876,2.45088,1.65378,0.00137241,0.00137241,0.00137241
6,164.8,1.40014,2.46262,1.512,0.23887,0.42705,0.20921,0.13804,1.34325,2.27037,1.56225,0.00135826,0.00135826,0.00135826
7,191.823,1.37747,2.34284,1.53261,0.27722,0.43335,0.23854,0.16653,1.29429,2.13222,1.53467,0.00134412,0.00134412,0.00134412
8,219.347,1.35259,2.27181,1.47885,0.24755,0.49802,0.24515,0.16192,1.25867,2.18856,1.50717,0.00132997,0.00132997,0.00132997
9,247.521,1.30043,2.22358,1.4391,0.27332,0.45769,0.25121,0.17389,1.22287,2.1108,1.46189,0.00131582,0.00131582,0.00131582
10,274.474,1.31642,2.18029,1.4624,0.23696,0.46965,0.26711,0.19327,1.21317,2.05312,1.47048,0.00130168,0.00130168,0.00130168
11,303.961,1.27271,2.13064,1.43564,0.26597,0.57633,0.27908,0.19861,1.14636,1.97592,1.42435,0.00128753,0.00128753,0.00128753
12,332.148,1.24832,2.11152,1.44206,0.26959,0.49736,0.28231,0.20339,1.15314,2.01839,1.43389,0.00127338,0.00127338,0.00127338
13,359.881,1.22424,2.0814,1.40414,0.25716,0.54835,0.2626,0.17892,1.19907,2.02957,1.48732,0.00125923,0.00125923,0.00125923
14,390.117,1.21208,2.03952,1.39754,0.30082,0.51396,0.29635,0.21148,1.12258,1.95721,1.37659,0.00124509,0.00124509,0.00124509
15,419.613,1.18957,2.03079,1.37662,0.28818,0.51273,0.32283,0.23323,1.10091,1.88203,1.36499,0.00123094,0.00123094,0.00123094
16,455.977,1.18796,1.99123,1.36394,0.24666,0.59685,0.31994,0.23207,1.11894,1.8521,1.38922,0.00121679,0.00121679,0.00121679
17,487.774,1.20034,1.99434,1.39963,0.29212,0.56219,0.325,0.22987,1.09878,1.86536,1.37099,0.00120265,0.00120265,0.00120265
18,517.767,1.14802,1.9582,1.35147,0.27963,0.51386,0.27596,0.20259,1.05906,1.87427,1.35233,0.0011885,0.0011885,0.0011885
19,551.164,1.15957,1.96924,1.36318,0.32485,0.51125,0.33681,0.25085,1.0495,1.83949,1.35463,0.00117435,0.00117435,0.00117435
20,582.786,1.15381,1.9062,1.34683,0.29719,0.56355,0.34346,0.25629,1.00781,1.79492,1.30738,0.00116021,0.00116021,0.00116021
21,611.999,1.10796,1.88736,1.32085,0.30831,0.51865,0.3352,0.2514,1.03546,1.82999,1.33431,0.00114606,0.00114606,0.00114606
22,643.713,1.10671,1.87309,1.33468,0.29956,0.57539,0.37294,0.28212,1.01952,1.72973,1.31748,0.00113191,0.00113191,0.00113191
23,671.745,1.07665,1.8764,1.31249,0.30103,0.53684,0.3338,0.24095,1.04467,1.73361,1.34209,0.00111776,0.00111776,0.00111776
24,698.238,1.09807,1.83991,1.32055,0.33434,0.51273,0.3736,0.28095,1.00426,1.72507,1.30208,0.00110362,0.00110362,0.00110362
25,726.042,1.0639,1.80615,1.30186,0.30458,0.5987,0.35046,0.26445,0.99506,1.72135,1.30162,0.00108947,0.00108947,0.00108947
26,754.668,1.04087,1.7582,1.26812,0.31346,0.58484,0.39042,0.30037,0.96428,1.68425,1.25784,0.00107532,0.00107532,0.00107532
27,783.618,1.03989,1.80346,1.29552,0.31525,0.55468,0.36937,0.2731,0.98284,1.72211,1.28439,0.00106118,0.00106118,0.00106118
28,813.417,1.04725,1.78897,1.30014,0.33379,0.54276,0.36847,0.28993,0.9625,1.70226,1.28177,0.00104703,0.00104703,0.00104703
29,841.555,1.01911,1.75074,1.28492,0.35687,0.54159,0.40622,0.31106,0.92611,1.6496,1.25245,0.00103288,0.00103288,0.00103288
30,869.699,1.03194,1.74359,1.28311,0.36021,0.49172,0.41192,0.31268,0.9432,1.65571,1.27005,0.00101873,0.00101873,0.00101873
31,896.907,1.01592,1.72759,1.26412,0.35142,0.52884,0.41506,0.32817,0.93863,1.63461,1.27279,0.00100459,0.00100459,0.00100459
32,928.235,1.01384,1.71024,1.28299,0.37187,0.5562,0.40915,0.3179,0.9206,1.63805,1.25425,0.00099044,0.00099044,0.00099044
33,964.017,1.01539,1.68442,1.2671,0.36913,0.53741,0.4325,0.33314,0.92107,1.5637,1.25117,0.000976293,0.000976293,0.000976293
34,995.205,1.02101,1.68916,1.27209,0.32892,0.58774,0.42535,0.32771,0.91794,1.57319,1.24031,0.000962146,0.000962146,0.000962146
35,1028.27,1.00863,1.68208,1.27563,0.44452,0.48072,0.45671,0.35781,0.91941,1.55747,1.23054,0.000947999,0.000947999,0.000947999
36,1056.8,1.00208,1.67367,1.26062,0.34912,0.61105,0.42156,0.32694,0.90817,1.61359,1.24025,0.000933851,0.000933851,0.000933851
37,1086.87,0.99086,1.68506,1.28021,0.36616,0.54363,0.41908,0.32305,0.90159,1.59955,1.22385,0.000919704,0.000919704,0.000919704
38,1117.49,0.95866,1.62139,1.22477,0.3393,0.61541,0.45277,0.35782,0.87943,1.54212,1.22128,0.000905557,0.000905557,0.000905557
39,1152.98,0.97372,1.63435,1.25288,0.40427,0.5579,0.45879,0.36124,0.88708,1.51942,1.22216,0.00089141,0.00089141,0.00089141
40,1186.14,0.94482,1.58373,1.22356,0.45187,0.47917,0.43877,0.34884,0.88169,1.53433,1.21641,0.000877263,0.000877263,0.000877263
41,1215.58,0.95015,1.57695,1.23582,0.42258,0.54469,0.47006,0.36664,0.8966,1.56431,1.2267,0.000863116,0.000863116,0.000863116
42,1244.84,0.92945,1.58852,1.22072,0.36419,0.5869,0.44733,0.34575,0.85407,1.53436,1.19156,0.000848969,0.000848969,0.000848969
43,1272.74,0.90694,1.51627,1.19799,0.47687,0.5815,0.50119,0.3954,0.85213,1.4587,1.1901,0.000834822,0.000834822,0.000834822
44,1300.14,0.95238,1.5453,1.22162,0.4709,0.55051,0.47277,0.37375,0.88082,1.56298,1.21624,0.000820675,0.000820675,0.000820675
45,1326.46,0.92792,1.56127,1.23248,0.42309,0.55309,0.45564,0.35788,0.86054,1.54172,1.21726,0.000806528,0.000806528,0.000806528
46,1354.2,0.91498,1.52915,1.20733,0.44474,0.56977,0.49147,0.39077,0.89103,1.48407,1.2206,0.00079238,0.00079238,0.00079238
47,1387.98,0.9247,1.54193,1.2084,0.39278,0.54768,0.47873,0.37441,0.89009,1.50685,1.23062,0.000778233,0.000778233,0.000778233
48,1415.73,0.92988,1.51084,1.21313,0.45093,0.59022,0.53552,0.42347,0.83695,1.40296,1.19136,0.000764086,0.000764086,0.000764086
49,1443.27,0.91043,1.49548,1.20776,0.42261,0.58129,0.50999,0.40209,0.8488,1.46034,1.20437,0.000749939,0.000749939,0.000749939
50,1473.91,0.90399,1.43699,1.20571,0.43608,0.56071,0.5043,0.40067,0.82938,1.43373,1.19052,0.000735792,0.000735792,0.000735792
51,1503.12,0.90664,1.45871,1.20201,0.51079,0.55796,0.55397,0.44457,0.82364,1.44343,1.17837,0.000721645,0.000721645,0.000721645
52,1530.74,0.90267,1.46339,1.20502,0.3995,0.62056,0.505,0.40562,0.87817,1.41952,1.19964,0.000707498,0.000707498,0.000707498
53,1559.19,0.88036,1.4233,1.19229,0.50406,0.52748,0.52936,0.42652,0.8357,1.39232,1.17428,0.000693351,0.000693351,0.000693351
54,1585.95,0.88472,1.43642,1.18643,0.48271,0.58539,0.57088,0.4686,0.78757,1.35572,1.16295,0.000679204,0.000679204,0.000679204
55,1614.15,0.89489,1.45659,1.21002,0.40485,0.59365,0.51541,0.41207,0.81601,1.41587,1.16068,0.000665057,0.000665057,0.000665057
56,1642.04,0.87561,1.39544,1.17426,0.49867,0.6465,0.56404,0.45582,0.81383,1.34899,1.16446,0.000650909,0.000650909,0.000650909
57,1670.49,0.8477,1.38259,1.18277,0.46862,0.57422,0.57154,0.45513,0.8252,1.35522,1.16437,0.000636762,0.000636762,0.000636762
58,1698.44,0.85537,1.39356,1.17828,0.54235,0.57366,0.59668,0.48028,0.82493,1.3275,1.18346,0.000622615,0.000622615,0.000622615
59,1726.02,0.85362,1.37589,1.15383,0.4394,0.63084,0.53595,0.42818,0.83843,1.37542,1.18993,0.000608468,0.000608468,0.000608468
60,1756.51,0.84407,1.3879,1.16901,0.51431,0.62401,0.5832,0.46826,0.82644,1.32072,1.18597,0.000594321,0.000594321,0.000594321
61,1783.71,0.85745,1.37304,1.16574,0.53217,0.64786,0.589,0.46853,0.80385,1.34088,1.16458,0.000580174,0.000580174,0.000580174
62,1810.47,0.85066,1.33651,1.16138,0.55333,0.62382,0.59601,0.47903,0.82119,1.36433,1.18039,0.000566027,0.000566027,0.000566027
63,1837.56,0.82409,1.33432,1.15787,0.52683,0.52139,0.56143,0.44952,0.80616,1.36363,1.16446,0.00055188,0.00055188,0.00055188
64,1865.36,0.82818,1.3045,1.15727,0.51889,0.65379,0.60912,0.49283,0.79327,1.32911,1.15865,0.000537733,0.000537733,0.000537733
